"filename", "language", "JSON with Comments", "JavaScript", "YAML", "JSON", "comment", "blank", "total"
"d:\QA project\qanew\.github\workflows\ci.yml", "YAML", 0, 0, -31, 0, -13, -9, -53
"d:\QA project\qanew\Backend\Backend.code-workspace", "JSON with Comments", -13, 0, 0, 0, 0, 0, -13
"d:\QA project\qanew\Backend\Controllers\authController.js", "JavaScript", 0, -43, 0, 0, -2, -14, -59
"d:\QA project\qanew\Backend\Controllers\festivalController.js", "JavaScript", 0, -55, 0, 0, -4, -15, -74
"d:\QA project\qanew\Backend\Model\Festival.js", "JavaScript", 0, -12, 0, 0, -1, -3, -16
"d:\QA project\qanew\Backend\Model\User.js", "JavaScript", 0, -25, 0, 0, 0, -3, -28
"d:\QA project\qanew\Backend\Routes\authRoutes.js", "JavaScript", 0, -6, 0, 0, 0, -4, -10
"d:\QA project\qanew\Backend\Routes\festivalRoutes.js", "JavaScript", 0, -14, 0, 0, -2, -7, -23
"d:\QA project\qanew\Backend\package-lock.json", "JSON", 0, 0, 0, -1646, 0, -1, -1647
"d:\QA project\qanew\Backend\package.json", "JSON", 0, 0, 0, -25, 0, -2, -27
"d:\QA project\qanew\Backend\server.js", "JavaScript", 0, -15, 0, 0, -2, -7, -24
"Total", "-", -13, -170, -31, -1671, -24, -65, -1974